Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Source_Station,Log_Date,Hour_Of_Day,Total_Time_Hours,Availability (%),Is_High_CPU,Is_High_Memory,Is_High_Disk_IO,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone
Station1_LOG00316,SRV005,CL-3,2025-08-01 13:15:00,94.08,51.35,60.7,4.23,21.91,865.4,0.43,Station1,2025-08-01,13,865.8299999999999,99.95033667117103,True,False,False,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00317,SRV054,CL-9,2025-08-02 04:09:00,67.12,41.17,15.73,27.1,8.77,146.38,5.78,Station1,2025-08-02,4,152.16,96.20136698212409,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00318,SRV001,CL-8,2025-08-02 13:24:00,89.76,59.38,44.045,8.41,11.82,645.65,7.08,Station1,2025-08-02,13,652.73,98.91532486633064,True,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00319,SRV073,CL-3,2025-08-01 22:53:00,30.54,35.18,73.39,27.15,19.97,661.39,3.93,Station1,2025-08-01,22,665.3199999999999,99.40930679973548,False,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00320,SRV056,CL-4,2025-08-01 21:49:00,76.11,64.94,67.61,8.86,14.34,338.4,3.86,Station1,2025-08-01,21,342.26,98.87220241921347,False,False,False,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00321,SRV023,CL-1,2025-08-02 21:23:00,32.63,57.89,7.15,8.86,7.71,505.09,9.7,Station1,2025-08-02,21,514.79,98.11573651391829,False,False,False,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00322,SRV026,CL-2,2025-08-02 00:49:00,49.08,77.58,8.76,29.59,12.02,706.55,6.9,Station1,2025-08-02,0,713.4499999999999,99.03286845609364,False,False,False,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00323,SRV054,CL-9,2025-08-02 17:36:00,62.31,46.22,26.95,26.3,15.16,287.9,3.81,Station1,2025-08-02,17,291.71,98.693908333619,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00324,SRV089,CL-1,2025-08-01 16:33:00,12.67,77.21,23.6,9.87,17.48,311.01,9.81,Station1,2025-08-01,16,320.82,96.94221058537498,False,False,False,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00325,SRV023,CL-1,2025-08-01 04:31:00,64.45,71.83,78.09,19.05,4.67,855.61,8.3,Station1,2025-08-01,4,863.91,99.03925177391164,False,False,False,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00326,SRV035,CL-6,2025-08-02 15:42:00,47.2,37.23,42.56,5.92,14.77,977.56,3.88,Station1,2025-08-02,15,981.4399999999999,99.6046625366808,False,False,False,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00327,SRV016,CL-2,2025-08-01 23:08:00,55.25,46.76,20.43,21.86,11.32,293.04,9.6,Station1,2025-08-01,23,302.64000000000004,96.82791435368753,False,False,False,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00328,SRV086,CL-4,2025-08-01 15:19:00,63.78,61.75,26.44,22.15,22.06,287.95,4.29,Station1,2025-08-01,15,292.24,98.53202846975088,False,False,False,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00329,SRV010,CL-4,2025-08-02 18:02:00,39.61,47.74,75.45,18.8,21.39,431.96,9.89,Station1,2025-08-02,18,441.84999999999997,97.76168382935386,False,False,False,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00330,SRV043,CL-8,2025-08-02 09:56:00,71.17,25.92,13.46,5.4,5.27,172.52,8.41,Station1,2025-08-02,9,180.93,95.35179351130272,False,False,False,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00331,SRV029,CL-2,2025-08-02 02:23:00,65.86,51.39,14.46,7.71,21.7,818.87,9.89,Station1,2025-08-02,2,828.76,98.80665090013997,False,False,False,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00332,SRV005,CL-3,2025-08-01 11:13:00,41.9,42.15,44.54,25.42,2.29,296.66,3.0,Station1,2025-08-01,11,299.66,98.99886538076487,False,False,False,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00333,SRV012,CL-3,2025-08-02 10:31:00,33.95,73.46,57.69,24.74,7.8,534.09,6.3,Station1,2025-08-02,10,540.39,98.83417531782602,False,False,False,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00334,SRV034,CL-6,2025-08-01 22:26:00,82.67,84.53,10.87,11.94,15.38,274.1,6.44,Station1,2025-08-01,22,280.54,97.70442717616025,False,False,False,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00335,SRV094,CL-8,2025-08-01 15:27:00,34.23,73.9,23.93,29.98,23.81,479.17,0.29,Station1,2025-08-01,15,479.46000000000004,99.93951528803237,False,False,False,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00336,SRV086,CL-4,2025-08-01 04:51:00,88.59,55.91,43.87,10.88,14.33,939.32,1.09,Station1,2025-08-01,4,940.4100000000001,99.88409310832509,True,False,False,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00337,SRV001,CL-8,2025-08-01 11:01:00,56.33,23.92,44.045,6.63,2.5,440.35,8.6,Station1,2025-08-01,11,448.95000000000005,98.0844192003564,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00338,SRV070,CL-1,2025-08-01 17:36:00,52.15,80.1,63.51,19.82,2.7,820.3,1.0,Station1,2025-08-01,17,821.3,99.87824181176184,False,False,False,host-070,10.0.46.35,Linux,Singapore,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00339,SRV036,CL-9,2025-08-02 13:06:00,44.07,65.88,66.08,3.98,3.78,323.66,9.88,Station1,2025-08-02,13,333.54,97.03783654134438,False,False,False,host-036,10.0.83.37,Windows,New York,Alice,CL-9,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00340,SRV001,CL-8,2025-08-02 07:40:00,43.62,60.21,44.045,17.51,19.99,912.49,7.71,Station1,2025-08-02,7,920.2,99.1621386655075,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00341,SRV023,CL-1,2025-08-02 05:46:00,46.28,66.31,32.71,16.54,6.77,700.31,1.77,Station1,2025-08-02,5,702.0799999999999,99.74789197812215,False,False,False,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00342,SRV091,CL-2,2025-08-02 15:25:00,80.39,86.55,33.81,5.48,10.81,825.43,8.53,Station1,2025-08-02,15,833.9599999999999,98.97716916878507,False,True,False,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00343,SRV054,CL-9,2025-08-02 03:45:00,41.33,30.86,33.75,15.04,19.16,293.53,4.3,Station1,2025-08-02,3,297.83,98.5562233488903,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00344,SRV020,CL-9,2025-08-02 16:46:00,76.91,89.23,68.81,7.59,11.98,710.39,0.74,Station1,2025-08-02,16,711.13,99.89594026408673,False,True,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00345,SRV066,CL-9,2025-08-02 06:49:00,85.68,67.42,53.76,13.82,16.45,589.34,2.02,Station1,2025-08-02,6,591.36,99.6584145021645,True,False,False,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00346,SRV046,CL-7,2025-08-02 01:03:00,37.53,54.235,37.88,9.15,12.11,693.07,4.69,Station1,2025-08-02,1,697.7600000000001,99.32784911717495,False,False,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00347,SRV028,CL-2,2025-08-01 12:17:00,35.48,34.67,49.0,4.02,3.61,254.03,0.86,Station1,2025-08-01,12,254.89000000000001,99.66259955274825,False,False,False,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00348,SRV073,CL-3,2025-08-01 00:31:00,81.15,52.7,59.56,23.8,5.88,990.98,2.06,Station1,2025-08-01,0,993.04,99.79255619108999,False,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00349,SRV096,CL-4,2025-08-01 10:37:00,74.03,77.2,79.65,16.58,0.74,232.51,6.43,Station1,2025-08-01,10,238.94,97.30894785301749,False,False,False,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00350,SRV077,CL-1,2025-08-01 23:41:00,38.91,86.61,62.97,6.72,17.09,616.28,3.9,Station1,2025-08-01,23,620.18,99.37115031119997,False,True,False,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00351,SRV084,CL-9,2025-08-02 19:39:00,87.34,30.35,57.09,7.42,0.72,813.83,6.23,Station1,2025-08-02,19,820.0600000000001,99.24029949028119,True,False,False,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00352,SRV096,CL-4,2025-08-01 22:29:00,80.15,52.07,11.03,2.87,16.83,399.34,5.4,Station1,2025-08-01,22,404.73999999999995,98.66581014972576,False,False,False,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00353,SRV036,CL-9,2025-08-02 19:47:00,60.1,86.97,72.01,14.32,19.87,514.71,1.92,Station1,2025-08-02,19,516.63,99.62836072237386,False,True,False,host-036,10.0.83.37,Windows,New York,Alice,CL-9,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00354,SRV019,CL-2,2025-08-01 06:38:00,35.15,29.84,71.66,22.31,19.53,273.23,8.29,Station1,2025-08-01,6,281.52000000000004,97.05527138391588,False,False,False,host-019,10.0.37.201,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00355,SRV063,CL-10,2025-08-02 23:38:00,31.23,77.29,25.57,6.67,17.78,840.76,2.45,Station1,2025-08-02,23,843.21,99.70944367358071,False,False,False,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00356,SRV046,CL-7,2025-08-02 02:31:00,35.77,68.65,7.3,0.74,22.75,466.54,1.15,Station1,2025-08-02,2,467.69,99.75411062883535,False,False,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00357,SRV082,CL-10,2025-08-01 09:33:00,46.96,21.32,24.42,14.29,6.75,250.32,5.18,Station1,2025-08-01,9,255.5,97.97260273972603,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00358,SRV078,CL-1,2025-08-01 00:37:00,78.03,56.64,75.41,9.29,10.76,419.99,4.28,Station1,2025-08-01,0,424.27,98.991208428595,False,False,False,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00359,SRV081,CL-4,2025-08-02 16:59:00,82.34,33.4,35.66,6.9,21.09,840.63,3.93,Station1,2025-08-02,16,844.56,99.5346689400398,False,False,False,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00360,SRV036,CL-9,2025-08-01 09:51:00,71.0,60.39,15.79,24.88,23.72,427.99,5.95,Station1,2025-08-01,9,433.94,98.62884269714708,False,False,False,host-036,10.0.83.37,Windows,New York,Alice,CL-9,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00361,SRV074,CL-3,2025-08-01 12:32:00,44.37,66.51,28.36,9.59,21.95,234.01,5.68,Station1,2025-08-01,12,239.69,97.63027243522883,False,False,False,host-074,10.0.246.17,Windows,New York,Hannah,CL-3,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00362,SRV082,CL-10,2025-08-02 22:43:00,64.8,29.58,17.64,14.1,12.6,546.4,9.5,Station1,2025-08-02,22,555.9,98.29105954308329,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00363,SRV028,CL-2,2025-08-01 20:37:00,32.97,83.11,12.16,2.74,11.33,474.31,4.13,Station1,2025-08-01,20,478.44,99.13677786138282,False,False,False,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00364,SRV043,CL-8,2025-08-01 00:08:00,87.36,56.87,44.12,18.61,1.86,838.69,5.8,Station1,2025-08-01,0,844.49,99.31319494606213,True,False,False,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00365,SRV045,CL-2,2025-08-01 00:10:00,76.98,70.33,18.56,24.01,24.34,695.71,9.99,Station1,2025-08-01,0,705.7,98.58438429927732,False,False,False,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00366,SRV012,CL-3,2025-08-02 12:29:00,61.96,82.41,46.88,29.31,7.09,563.1,7.28,Station1,2025-08-02,12,570.38,98.72365791226902,False,False,False,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00367,SRV014,CL-10,2025-08-02 21:44:00,21.21,58.93,67.12,12.31,19.91,768.7,8.05,Station1,2025-08-02,21,776.75,98.96363051174767,False,False,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00368,SRV020,CL-9,2025-08-02 08:32:00,18.73,35.09,46.58,4.45,4.37,142.36,5.93,Station1,2025-08-02,8,148.29000000000002,96.0010789668892,False,False,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00369,SRV020,CL-9,2025-08-01 16:47:00,33.5,66.24,48.12,24.59,0.98,130.88,5.27,Station1,2025-08-01,16,136.15,96.12926918839516,False,False,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00370,SRV012,CL-3,2025-08-01 10:23:00,66.06,73.64,52.83,22.06,9.52,176.29,3.0,Station1,2025-08-01,10,179.29,98.32673322550059,False,False,False,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00371,SRV050,CL-1,2025-08-01 23:31:00,81.63,26.88,79.83,22.26,13.17,201.85,9.93,Station1,2025-08-01,23,211.78,95.31117197091321,False,False,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00372,SRV082,CL-10,2025-08-01 23:16:00,89.75,27.67,11.79,12.61,24.44,103.01,4.18,Station1,2025-08-01,23,107.19,96.10038249836738,True,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00373,SRV054,CL-9,2025-08-02 01:10:00,32.72,63.26,32.34,10.06,21.05,915.83,9.09,Station1,2025-08-02,1,924.9200000000001,99.01721229944212,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00374,SRV071,CL-2,2025-08-02 12:06:00,75.17,83.56,66.43,21.16,17.64,668.88,7.24,Station1,2025-08-02,12,676.12,98.9291841684908,False,False,False,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00375,SRV054,CL-9,2025-08-02 04:35:00,12.17,71.05,29.02,26.12,24.8,877.05,4.14,Station1,2025-08-02,4,881.1899999999999,99.53018077826576,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00376,SRV067,CL-5,2025-08-02 17:54:00,89.99,26.01,42.33,3.23,21.32,737.75,0.63,Station1,2025-08-02,17,738.38,99.9146780790379,True,False,False,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00377,SRV063,CL-10,2025-08-02 23:04:00,43.69,65.37,6.85,13.24,14.6,185.74,3.69,Station1,2025-08-02,23,189.43,98.05205088951064,False,False,False,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00378,SRV006,CL-4,2025-08-02 20:21:00,77.37,84.86,10.29,23.74,18.17,306.48,4.1,Station1,2025-08-02,20,310.58000000000004,98.67988923948741,False,False,False,host-006,10.0.232.230,Windows,Mumbai,Alice,CL-4,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00379,SRV026,CL-2,2025-08-02 06:23:00,82.24,60.53,36.58,27.24,6.39,699.52,8.23,Station1,2025-08-02,6,707.75,98.83716001412928,False,False,False,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00380,SRV027,CL-7,2025-08-01 19:56:00,26.83,37.64,66.67,11.49,13.72,609.28,3.7,Station1,2025-08-01,19,612.98,99.39639139939312,False,False,False,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00381,SRV097,CL-3,2025-08-02 03:40:00,26.65,32.44,26.61,15.89,1.82,100.23,2.96,Station1,2025-08-02,3,103.19,97.13150499079369,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00382,SRV016,CL-2,2025-08-01 19:06:00,75.07,28.02,28.78,18.58,1.53,424.92,8.46,Station1,2025-08-01,19,433.38,98.04790253357332,False,False,False,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00383,SRV041,CL-10,2025-08-01 22:39:00,69.86,74.55,18.04,29.91,4.54,501.07,9.81,Station1,2025-08-01,22,510.88,98.07978390228625,False,False,False,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00384,SRV097,CL-3,2025-08-01 04:21:00,93.24,85.29,32.73,3.99,16.84,400.77,9.3,Station1,2025-08-01,4,410.07,97.73209452044772,True,True,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00385,SRV006,CL-4,2025-08-02 18:37:00,71.81,59.24,24.78,21.01,1.96,598.31,9.46,Station1,2025-08-02,18,607.77,98.4434901360712,False,False,False,host-006,10.0.232.230,Windows,Mumbai,Alice,CL-4,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00386,SRV091,CL-2,2025-08-01 07:00:00,94.34,72.44,22.29,23.62,10.31,720.48,9.73,Station1,2025-08-01,7,730.21,98.6675066076882,True,False,False,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00387,SRV097,CL-3,2025-08-02 02:18:00,74.12,54.21,50.82,2.79,7.7,592.56,2.49,Station1,2025-08-02,2,595.05,99.58154776909504,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00388,SRV097,CL-3,2025-08-02 12:48:00,58.76,59.525000000000006,25.7,17.8,4.78,295.37,8.11,Station1,2025-08-02,12,303.48,97.32766574403585,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00389,SRV054,CL-9,2025-08-02 07:57:00,23.27,62.79,53.7,8.7,5.37,802.88,1.33,Station1,2025-08-02,7,804.21,99.83462031061538,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00390,SRV081,CL-4,2025-08-02 11:11:00,13.87,64.83,9.48,9.91,10.54,293.49,6.52,Station1,2025-08-02,11,300.01,97.82673910869639,False,False,False,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00391,SRV001,CL-8,2025-08-02 11:21:00,34.49,72.17,39.42,2.73,1.95,609.46,1.67,Station1,2025-08-02,11,611.13,99.72673571907778,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00392,SRV046,CL-7,2025-08-01 15:16:00,83.53,62.47,76.96,8.22,4.8,987.69,7.5,Station1,2025-08-01,15,995.19,99.24637506405813,False,False,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00393,SRV013,CL-2,2025-08-02 02:37:00,42.8,24.52,74.02,24.68,12.57,396.66,3.68,Station1,2025-08-02,2,400.34000000000003,99.08078133586451,False,False,False,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00394,SRV029,CL-2,2025-08-02 20:57:00,11.27,47.63,79.53,18.11,18.49,657.56,3.89,Station1,2025-08-02,20,661.4499999999999,99.41189810265327,False,False,False,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00395,SRV081,CL-4,2025-08-01 23:53:00,72.0,45.3,8.91,13.94,2.77,581.49,0.48,Station1,2025-08-01,23,581.97,99.91752152172792,False,False,False,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00396,SRV054,CL-9,2025-08-01 19:13:00,77.75,58.58,65.87,14.11,10.32,853.11,7.8,Station1,2025-08-01,19,860.91,99.09398194933269,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00397,SRV001,CL-8,2025-08-02 00:42:00,82.43,26.61,22.74,11.23,15.42,207.6,9.27,Station1,2025-08-02,0,216.87,95.72554986858486,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00398,SRV077,CL-1,2025-08-02 04:36:00,17.5,53.845,30.66,6.72,18.92,445.09,8.28,Station1,2025-08-02,4,453.36999999999995,98.17367712905575,False,False,False,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00399,SRV016,CL-2,2025-08-01 14:07:00,49.29,46.98,40.84,13.85,9.11,284.53,6.97,Station1,2025-08-01,14,291.5,97.60891938250428,False,False,False,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00400,SRV014,CL-10,2025-08-01 16:23:00,20.46,82.93,41.8,15.89,4.48,744.88,1.77,Station1,2025-08-01,16,746.65,99.76294113707895,False,False,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00401,SRV035,CL-6,2025-08-02 10:00:00,44.21,69.66,38.99,29.29,19.7,769.81,8.93,Station1,2025-08-02,10,778.7399999999999,98.85327580450472,False,False,False,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00402,SRV017,CL-6,2025-08-01 23:04:00,36.17,87.73,20.22,11.08,16.17,675.79,6.66,Station1,2025-08-01,23,682.4499999999999,99.02410432998755,False,True,False,host-017,10.0.188.240,Windows,Mumbai,Ethan,CL-6,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00403,SRV048,CL-9,2025-08-01 13:42:00,42.49,40.9,79.85,4.27,8.47,568.27,4.85,Station1,2025-08-01,13,573.12,99.1537548855388,False,False,False,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00404,SRV096,CL-4,2025-08-01 11:50:00,12.44,73.78,9.91,1.09,1.83,155.22,8.5,Station1,2025-08-01,11,163.72,94.80820913755191,False,False,False,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00405,SRV046,CL-7,2025-08-02 04:59:00,51.8,54.235,56.29,15.53,1.93,188.9,0.7,Station1,2025-08-02,4,189.6,99.63080168776372,False,False,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00406,SRV046,CL-7,2025-08-02 23:36:00,83.57,23.32,29.43,14.69,17.61,882.28,3.21,Station1,2025-08-02,23,885.49,99.63748884798247,False,False,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00407,SRV077,CL-1,2025-08-02 05:32:00,54.24,75.83,17.93,10.42,13.51,336.31,3.8,Station1,2025-08-02,5,340.11,98.88271441592426,False,False,False,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00408,SRV020,CL-9,2025-08-01 07:05:00,54.92,33.49,25.5,9.02,10.3,901.75,3.23,Station1,2025-08-01,7,904.98,99.6430860350505,False,False,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00409,SRV070,CL-1,2025-08-02 00:24:00,85.52,49.545,14.19,22.57,11.76,906.36,7.2,Station1,2025-08-02,0,913.5600000000001,99.21187442532509,True,False,False,host-070,10.0.46.35,Linux,Singapore,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00410,SRV014,CL-10,2025-08-01 05:50:00,27.32,89.39,60.29,23.22,20.16,441.6,0.61,Station1,2025-08-01,5,442.21000000000004,99.86205648899843,False,True,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
